age	nyuin	nmal	nfem	gairai	gmal	gfem
0~0	1062	1119	1001	6691	6811	6564
1~4	170	187	152	6778	6914	6638
5~9	92	101	83	4422	4562	4275
10~14	92	102	82	2649	2711	2584
15~19	117	123	111	1937	1750	2134
20~24	165	147	184	2240	1743	2765
25~29	241	178	306	2716	1908	3561
30~34	296	216	379	3086	2156	4043
35~39	304	266	342	3280	2463	4118
40~44	330	351	308	3382	2850	3927
45~49	427	480	374	3827	3333	4327
50~54	591	688	493	4664	4087	5244
55~59	772	921	626	5361	4878	5838
60~64	1064	1282	855	6514	6164	6853
65~69	1350	1618	1102	8309	7821	8761
70~74	1820	2110	1568	10778	10266	11224
75~79	2635	2913	2416	12397	12110	12624
80~84	3879	4063	3757	12606	12857	12439
85~89	5578	5603	5569	11373	11871	11126
90~100	8412	7803	8587	9074	9911	8834
