age	tot	male	female
0	1002	514	487
1	960	490	470
2	974	499	475
3	1011	517	495
4	1017	520	497
5	1045	535	509
6	1048	537	511
7	1059	543	517
8	1079	553	527
9	1071	549	523
10	1064	544	519
11	1066	546	520
12	1104	564	539
13	1123	576	548
14	1157	593	564
15	1174	602	572
16	1201	619	583
17	1203	618	584
18	1229	631	598
19	1233	633	600
20	1226	631	595
21	1242	639	604
22	1238	636	602
23	1215	624	591
24	1228	631	597
25	1221	626	595
26	1242	635	607
27	1270	649	621
28	1312	671	641
29	1348	687	660
30	1371	700	672
31	1425	724	701
32	1471	746	725
33	1494	758	736
34	1496	758	738
35	1512	767	745
36	1578	800	778
37	1619	821	798
38	1682	853	830
39	1727	876	851
40	1810	918	892
41	1889	958	932
42	1994	1012	982
43	2028	1025	1003
44	1991	1009	983
45	1938	980	958
46	1880	950	930
47	1850	934	917
48	1809	912	897
49	1805	910	895
50	1410	708	702
51	1740	875	865
52	1630	819	811
53	1588	797	791
54	1535	769	766
55	1511	756	754
56	1520	758	762
57	1548	772	776
58	1505	748	757
59	1462	725	737
60	1536	760	775
61	1586	785	801
62	1583	781	802
63	1681	825	856
64	1775	868	907
65	1875	915	960
66	2007	975	1032
67	2191	1060	1131
68	2162	1041	1121
69	2041	981	1060
70	1267	602	665
71	1350	634	717
72	1631	759	872
73	1566	725	841
74	1593	731	862
75	1529	697	832
76	1369	617	752
77	1172	523	649
78	1226	537	689
79	1229	531	698
80	1198	509	689
81	1108	459	649
82	1010	407	603
83	968	379	590
84	896	342	554
85	816	300	516
86	720	255	465
87	652	220	432
88	580	188	392
89	507	157	350
90	439	128	311
91	359	96	262
92	283	70	213
93	227	50	177
94	170	34	136
95	130	25	106
96	105	19	86
97	64	11	53
98	49	8	41
99	35	5	30
100	66	9	57
